university,subject,year,chinese,english,mathA,mathB,physics,chemistry,biology,history,geography,citizen,average,0
輔仁大學,數學系應用數學組,109,1.25,1.25,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,45.4644,55.9626
國立臺東大學,應用科學系化學及奈米科學組,109,1,1,1.25,NULL,1.25,2,NULL,NULL,NULL,NULL,45.3277,55.9463
輔仁大學,生命科學系,109,NULL,2,NULL,NULL,NULL,1.5,2,NULL,NULL,NULL,51.5364,55.9303
國立聯合大學,建築學系,109,2,2,1.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,49.4261,55.9249
東吳大學,微生物學系生物科技組,109,1,2,NULL,NULL,NULL,1.5,2,NULL,NULL,NULL,52.4,55.9126
東海大學,社會學系,109,2,1.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.5,57.506,55.8892
逢甲大學,統計學系商業大數據組,109,1.5,1.75,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,49.4819,55.8746
逢甲大學,應用數學系B組,109,1.75,1.75,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,50.2618,55.8729
逢甲大學,水利工程與資源保育學系B組,109,2,2,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,53.14,55.8411
逢甲大學,中國文學系,109,2,1.25,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,56.2876,55.7963
逢甲大學,國際經營與貿易學系,109,1.25,2,NULL,1.5,NULL,NULL,NULL,NULL,NULL,NULL,49.6421,55.7923
淡江大學,統計學系,109,1,1.5,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,47.2289,55.7808
靜宜大學,法律學系,109,2,1,NULL,1,NULL,NULL,NULL,NULL,NULL,1.5,54.7455,55.7806
東海大學,化學系化學生物組(A組),109,NULL,1.5,1.5,NULL,1,2,NULL,NULL,NULL,NULL,43.0217,55.7768
國立聯合大學,電子工程學系(乙組),109,1.5,1,2,NULL,NULL,1.5,NULL,NULL,NULL,NULL,46.7,55.7701
東海大學,化學系化學生物組(B組),109,NULL,1.5,1,NULL,NULL,2,1.5,NULL,NULL,NULL,46.7,55.7684
元智大學,機械工程學系,109,1,NULL,1.5,NULL,1.5,NULL,NULL,NULL,NULL,NULL,42.6625,55.7253
銘傳大學,國際事務與外交學士學位學程,109,1.5,2,NULL,NULL,NULL,NULL,NULL,1.5,NULL,NULL,55.19,55.7074
