1162,111,國+社,5,國+社,28
1162,111,英,2.5,英,14
1172,106,國+社,5,國+社,29
1172,106,英,3,英,15
1172,107,國+社,5,國+社,29
1172,107,英,3,英,15
1172,108,國+社,5,國+社,29
1172,108,英,3,英,15
1172,109,國+社,5,國+社,29
1172,109,英,3,英,15
1172,110,國+社,5,國+社,29
1172,110,英,3,英,15
1172,111,國+社,5,國+社,28
1172,111,英,2.5,英,14
1182,106,國+社,5,國+社,28
1182,106,英,3,英,14
1182,107,國+社,5,國+社,29
1182,107,英,3,英,15
1182,108,國+社,5,國+社,29
1182,108,英,3,英,15
1182,109,國+社,5,國+社,29
1182,109,英,3,英,15
1182,110,國+社,5,國+社,29
1182,110,英,3,英,15
1182,111,國+社,5,國+社,28
1182,111,英,2.5,英,15
1192,106,總級分,4,總級分,69
1192,106,數A+數B,3,數A+數B,14
1192,107,總級分,4,總級分,69
1192,107,數A+數B,3,數A+數B,14
1192,108,自+社,6,自+社,26
1192,108,數A+數B,3,數A+數B,15
1192,109,自+社,6,自+社,26
1192,109,數A+數B,3,數A+數B,15
1192,110,自+社,6,自+社,23
1192,110,數A+數B,3,數A+數B,12
1192,111,自+社,6,自+社,26
1192,111,數A,2.5,數A,11
1202,106,國+數A+數B,4,國+數A+數B,25
1202,106,英,2,英,15
1202,107,國+英+社,4,國+英+社,44
1202,108,國+英+社,4,國+英+社,44
1202,109,國+英+社,3,國+英+社,44
1202,110,國+英+社,3.5,國+英+社,44
1202,111,自,6,自,13
1202,111,數A,2.5,數A,12
1212,106,國+數A+數B+社,5,國+數A+數B+社,36
1212,106,英,2,英,15
1212,107,國+數A+數B+社,5,國+數A+數B+社,37
1212,107,英,2,英,15
1212,108,國+數A+數B+社,5,國+數A+數B+社,39
1212,108,英,3,英,15
1212,109,國+數A+數B+社,5,國+數A+數B+社,40
1212,109,英,3,英,15
1212,110,國+數A+數B+社,5,國+數A+數B+社,35
1212,110,英,3,英,14
1212,111,社,6,社,15
1212,111,數A,2.5,數A,12
1222,106,社,8,社,14
1222,106,國+總級分,3,國+總級分,89
1222,106,英+數A+數B+自,2,英+數A+數B+自,45
1222,107,社,8,社,12
1222,107,國+總級分,3,國+總級分,89
1222,107,英+數A+數B+自,2,英+數A+數B+自,45
1222,108,國,4,國,15
1222,108,國+英+數A+數B+自,3,國+英+數A+數B+自,60
1222,108,英+數A+數B+自,2,英+數A+數B+自,45
1222,109,國,4,國,15
1222,109,國+英+數A+數B+自,3,國+英+數A+數B+自,60
1222,109,英+數A+數B+自,2,英+數A+數B+自,45
1222,110,國,4,國,13
1222,110,國+英+數A+數B+自,3,國+英+數A+數B+自,59
1222,110,英+數A+數B+自,2,英+數A+數B+自,45
1222,111,國+英+社,3,國+英+社,44
1232,106,英+數A+數B+自,4,英+數A+數B+自,44
1232,106,總級分,3,總級分,74
1232,106,國,2.5,國,15
1232,107,社,8,社,12
1232,107,國+總級分,3,國+總級分,87
1232,107,英+數A+數B+自,2,英+數A+數B+自,44
1232,108,國,4,國,14
1232,108,國+英+數A+數B+自,3,國+英+數A+數B+自,58
1232,108,英+數A+數B+自,2,英+數A+數B+自,44
1232,109,國,4,國,15
1232,109,國+英+數A+數B+自,3,國+英+數A+數B+自,59
1232,109,英+數A+數B+自,2,英+數A+數B+自,44
1232,110,國,4,國,13
1232,110,國+英+數A+數B+自,3,國+英+數A+數B+自,53
1232,110,英+數A+數B+自,2,英+數A+數B+自,41
1232,111,國+數B+社,5,國+數B+社,40
1232,111,英,3,英,14
1242,106,數A+數B+自,4,數A+數B+自,29
1242,106,總級分,3,總級分,72
1242,106,英,2.5,英,14
1242,107,英+數A+數B+自,4,英+數A+數B+自,44
1242,107,總級分,3,總級分,74
1242,107,國,2.5,國,15
1242,108,國+英+數A+數B+自,4,國+英+數A+數B+自,60
1242,108,英+數A+數B+自,2.5,英+數A+數B+自,45
1242,109,國+英+數A+數B+自,3,國+英+數A+數B+自,59
1242,109,英+數A+數B+自,2.5,英+數A+數B+自,45
1242,110,國+英+數A+數B+自,3,國+英+數A+數B+自,59
1242,110,英+數A+數B+自,2.5,英+數A+數B+自,44
1242,111,國,4,國,13
1242,111,國+英+數A+自,3,國+英+數A+自,58
1242,111,英+數A+自,2,英+數A+自,44
1252,106,英,6,英,14
1252,106,數A+數B,5,數A+數B,12
1252,106,自,3,自,15
1252,107,數A+數B+自,4,數A+數B+自,29
1252,107,總級分,3,總級分,72
1252,107,英,2.5,英,15
1252,108,數A+數B+自,4,數A+數B+自,30
1252,108,國+英+數A+數B+自,3,國+英+數A+數B+自,58
1252,109,數A+數B+自,4,數A+數B+自,30
1252,109,國+英+數A+數B+自,3,國+英+數A+數B+自,58
1252,110,數A+數B+自,4,數A+數B+自,28
1252,110,國+英+數A+數B+自,3,國+英+數A+數B+自,56
1252,111,國,4,國,15
1252,111,國+英+數A+自,3,國+英+數A+自,55
1252,111,英+數A+自,2,英+數A+自,40
1262,106,英,6,英,13
1262,106,自,3,自,14
1262,107,英,6,英,14
1262,107,數A+數B,5,數A+數B,13
1262,107,自,4,自,13
1262,108,英,6,英,14
1262,108,數A+數B,5,數A+數B,14
1262,108,自,3,自,14
1262,109,英,6,英,14
1262,109,數A+數B,5,數A+數B,15
1262,109,自,3,自,14
1262,110,英,6,英,14
1262,110,數A+數B,5,數A+數B,11
1262,110,自,3,自,14
1262,111,國+英+數A+自,3,國+英+數A+自,58
1262,111,英+數A+自,2.5,英+數A+自,44
1272,106,英,6,英,14
1272,106,自,3,自,15
1272,107,英,6,英,13
1272,107,自,3,自,13
1272,108,英,6,英,14
1272,108,自,3,自,14
1272,109,英,6,英,9
1272,109,自,3,自,12
1272,110,英,6,英,14
1272,110,自,3,自,13
1272,111,自,4,自,14
1272,111,數A,3,數A,13
1272,111,國+英+數A+自,2.5,國+英+數A+自,54
1282,106,英,6,英,13
1282,106,國,5,國,14
1282,106,自,3,自,14
1282,108,英,6,英,14
1282,108,自,3,自,15
1282,109,英,6,英,12
1282,109,自,3,自,14
1282,110,英+數A+數B+自,3,英+數A+數B+自,41
1282,111,英+數A+自,3,英+數A+自,39
