university,subject,year,chinese,english,mathA,mathB,physics,chemistry,biology,history,geography,citizen,average,0,0
國立臺灣大學,醫學檢驗暨生物技術學系,110,1,1,1,NULL,NULL,1,1,NULL,NULL,NULL,78.59,76.891
國立臺灣大學,化學系,110,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,75.664,76.8771
國立陽明大學,學士班大一大二不分系,110,NULL,1.25,1,NULL,NULL,1.25,1.5,NULL,NULL,NULL,80.846,76.8145
國立臺灣大學,公共衛生學系A組,110,NULL,1.25,1.25,NULL,NULL,1,NULL,NULL,NULL,NULL,78.58,76.695
國立清華大學,材料科學工程學系乙組,110,1,1.5,1,NULL,1.5,1.5,NULL,NULL,NULL,NULL,76.3662,76.671
國立清華大學,計量財務金融學系甲組,110,1,1.5,1.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,78.025,76.6435
國立交通大學,管理科學系,110,1,2,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,83.48,76.6299
國立臺灣大學,工商管理學系科技管理組,110,1,2,2,NULL,1,1,NULL,NULL,NULL,NULL,76.6571,76.5951
國立交通大學,電子物理學系光電與奈米科學組,110,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,75.21,76.5928
國立臺北大學,法律學系司法組,110,1.5,1.5,NULL,1.5,NULL,NULL,NULL,1,NULL,1,80.7385,76.4795
國立臺灣大學,戲劇學系(女),110,1.5,1.5,NULL,1,NULL,NULL,NULL,1,1,NULL,81.73,76.3816
國立清華大學,動力機械工程學系甲組,110,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,74.74,76.2831
國立成功大學,會計學系,110,1,2,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,82.92,76.2816
國立政治大學,外交學系,110,1.5,1.75,NULL,1.25,NULL,NULL,NULL,1,1,NULL,81.8169,76.2594
國立政治大學,民族學系,110,1,1,NULL,NULL,NULL,NULL,NULL,1.25,1.25,1.5,80.03,76.257
國立清華大學,工學院學士班,110,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,74.67,76.2351
國立政治大學,金融學系自然組,110,1,1.5,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,76.6111,76.1487
國立臺灣大學,心理學系,110,1,1,1,NULL,NULL,1,1,NULL,NULL,NULL,77.57,76.1385
國立清華大學,經濟學系第1組,110,1,2,NULL,2,NULL,NULL,NULL,1,1,NULL,82.5143,76.1351
國立臺灣大學,生命科學系,110,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,76.07,76.1323
國立清華大學,化學工程學系,110,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,74.52,76.1322
國立臺灣大學,工程科學及海洋工程學系,110,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,74.51,76.1254
國立交通大學,電子物理學系電子物理組,110,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,74.37,76.0294
國立清華大學,理學院學士班,110,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,74.37,76.0294
國立政治大學,地政學系土地管理組,110,1.5,1.5,NULL,1.5,NULL,NULL,NULL,1,1,NULL,81.1846,76.0254
國立臺灣大學,機械工程學系,110,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,74.28,75.9677
國立政治大學,公共行政學系,110,1,1.5,NULL,1.25,NULL,NULL,NULL,NULL,NULL,1.25,79.256,75.9437
國立政治大學,日本語文學系,110,1.5,1.5,NULL,1,NULL,NULL,NULL,1,1,NULL,81.0083,75.9423
國立清華大學,物理學系物理組(乙組天文物理組),110,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,74.24,75.9403
國立中央大學,財務金融學系,110,1,1.5,NULL,1.5,NULL,NULL,NULL,NULL,NULL,NULL,81.6,75.8915
國立臺北大學,法律學系法學組,110,1.5,1.5,NULL,1.5,NULL,NULL,NULL,1,NULL,1,80.12,75.8755
國立臺北大學,金融與合作經營學系,110,1,2,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,82.42,75.8267
國立成功大學,法律學系,110,1,1,NULL,1,NULL,NULL,NULL,1,NULL,1,79.46,75.6993
國立政治大學,歐洲語文學系德文組,110,1.5,1.5,NULL,1,NULL,NULL,NULL,1,1,NULL,80.775,75.6815
國立成功大學,資訊工程學系,110,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,73.82,75.6643
國立臺灣大學,農業化學系,110,NULL,1,1,NULL,1,1.5,1.5,NULL,NULL,NULL,76.625,75.6404
