001152,107,國+英+數A+數B+自(3),國+英+數A+數B+自(56)
001152,108,國+英+數A+數B+自(3),國+英+數A+數B+自(56)
001152,109,國+英+數A+數B+自(3),國+英+數A+數B+自(57)
001152,110,國+英+數A+數B+自(3),國+英+數A+數B+自(52)
001152,111,國+英+數A+自(3),國+英+數A+自(51)
001162,106,國+社(5),國+社(29)
001162,106,英(3),英(15)
001162,107,國+社(5),國+社(28)
001162,107,英(3),英(15)
001162,108,國+社(5),國+社(29)
001162,108,英(3),英(15)
001162,109,國+社(5),國+社(29)
001162,109,英(3),英(15)
001162,110,國+社(5),國+社(29)
001162,110,英(3),英(14)
001162,111,國+社(5),國+社(28)
001162,111,英(2.5),英(14)
001172,106,國+社(5),國+社(29)
001172,106,英(3),英(15)
001172,107,國+社(5),國+社(29)
001172,107,英(3),英(15)
001172,108,國+社(5),國+社(29)
001172,108,英(3),英(15)
001172,109,國+社(5),國+社(29)
001172,109,英(3),英(15)
001172,110,國+社(5),國+社(29)
001172,110,英(3),英(15)
001172,111,國+社(5),國+社(28)
001172,111,英(2.5),英(14)
001182,106,國+社(5),國+社(28)
001182,106,英(3),英(14)
001182,107,國+社(5),國+社(29)
001182,107,英(3),英(15)
001182,108,國+社(5),國+社(29)
001182,108,英(3),英(15)
001182,109,國+社(5),國+社(29)
001182,109,英(3),英(15)
001182,110,國+社(5),國+社(29)
001182,110,英(3),英(15)
001182,111,國+社(5),國+社(28)
001182,111,英(2.5),英(15)
001192,106,總級分(4),總級分(69)
001192,106,數A+數B(3),數A+數B(14)
001192,107,總級分(4),總級分(69)
001192,107,數A+數B(3),數A+數B(14)
001192,108,自+社(6),自+社(26)
001192,108,數A+數B(3),數A+數B(15)
001192,109,自+社(6),自+社(26)
001192,109,數A+數B(3),數A+數B(15)
001192,110,自+社(6),自+社(23)
001192,110,數A+數B(3),數A+數B(12)
001192,111,自+社(6),自+社(26)
001192,111,數A(2.5),數A(11)
001202,106,國+數A+數B(4),國+數A+數B(25)
001202,106,英(2),英(15)
001202,107,國+英+社(4),國+英+社(44)
001202,108,國+英+社(4),國+英+社(44)
001202,109,國+英+社(3),國+英+社(44)
001202,110,國+英+社(3.5),國+英+社(44)
001202,111,自(6),自(13)
001202,111,數A(2.5),數A(12)
001212,106,國+數A+數B+社(5),國+數A+數B+社(36)
001212,106,英(2),英(15)
001212,107,國+數A+數B+社(5),國+數A+數B+社(37)
001212,107,英(2),英(15)
001212,108,國+數A+數B+社(5),國+數A+數B+社(39)
001212,108,英(3),英(15)
001212,109,國+數A+數B+社(5),國+數A+數B+社(40)
001212,109,英(3),英(15)
001212,110,國+數A+數B+社(5),國+數A+數B+社(35)
