score,cume
65,38.02
64,39.36
63,40.6
62,41.83
61,43.03
60,44.51
59,45.64
58,46.93
57,48.07
56,49.6
55,50.66
54,52.07
53,53.08
52,54.85
51,55.79
50,57.34
49,58.18
48,59.83
47,60.64
46,62.34
45,63.05
44,64.86
43,65.51
42,67.27
41,67.88
40,69.71
39,70.27
38,72.22
37,72.73
36,74.58
35,74.99
34,76.93
33,77.35
32,79.1
31,79.48
30,81.45
29,81.77
28,83.48
27,83.74
26,85.69
25,85.96
24,87.62
23,87.86
22,89.72
21,89.85
20,91.46
19,91.66
18,93.04
17,93.13
16,94.77
15,94.91
14,95.82
13,95.85
12,97.21
11,97.3
10,97.74
9,97.75
8,98.9
7,98.96
6,99.05
5,99.05
4,99.77
3,99.78
2,99.78
1,99.78
0,100
score,cume
100,0.08
99,0.2
98,0.31
97,0.58
96,0.89
95,1.32
94,1.87
93,2.38
92,3.09
91,3.82
90,4.7
89,5.73
88,6.72
87,7.72
86,8.87
85,10.02
84,11.17
83,12.35
82,13.7
81,15.01
80,16.33
79,17.56
78,18.78
77,20.18
76,21.52
75,22.78
74,24.08
73,25.39
72,26.71
71,27.94
70,29.36
69,30.53
68,31.82
67,33
66,34.22
65,35.51
64,36.76
63,38.01
62,39.17
61,40.37
60,41.64
59,42.87
58,44.07
57,45.28
56,46.65
55,47.98
54,49.17
53,50.46
52,51.68
51,52.82
50,54.12
49,55.43
48,56.75
47,58.1
46,59.42
45,60.69
44,61.97
43,63.31
42,64.66
41,65.96
40,67.31
39,68.77
38,70.19
37,71.63
36,73.17
35,74.62
34,76.07
33,77.54
32,79.08
31,80.54
30,82.01
29,83.47
28,84.78
27,86.21
26,87.52
25,88.9
24,90.22
23,91.4
22,92.61
21,93.61
20,94.62
19,95.48
18,96.28
17,97.03
16,97.68
15,98.15
14,98.6
13,98.99
12,99.25
11,99.47
10,99.66
9,99.79
8,99.88
7,99.92
6,99.96
5,99.97
4,99.98
3,99.98
2,99.99
1,99.99
0,100
score,cume
100,0
99,0
98,0
97,0
96,0
95,0.01
94,0.01
93,0.04
92,0.11
91,0.17
90,0.29
89,0.4
88,0.7
87,1
86,1.48
85,1.89
84,2.74
83,3.47
82,4.71
81,5.76
80,7.53
79,8.97
78,11.3
77,12.82
76,15.52
75,17.41
74,20.34
73,22.57
72,25.89
71,28.3
70,31.92
69,34.35
68,37.99
67,40.55
66,44.47
65,46.99
64,50.83
63,53.43
62,57.34
61,59.8
60,63.53
59,65.92
58,69.27
57,71.39
56,74.41
55,76.31
54,79.05
53,80.72
52,83.08
51,84.44
50,86.41
49,87.54
48,89.23
47,90.16
46,91.55
45,92.38
44,93.48
43,94.11
42,94.99
41,95.5
40,96.19
39,96.62
38,97.19
37,97.47
36,97.9
35,98.1
34,98.47
33,98.66
32,98.91
31,99.1
30,99.32
29,99.44
28,99.58
27,99.67
26,99.76
25,99.81
24,99.88
23,99.91
22,99.96
21,99.96
20,99.97
19,99.97
18,99.98
17,99.99
16,100
15,100
14,100
13,100
12,100
11,100
10,100
9,100
8,100
7,100
6,100
5,100
4,100
3,100
2,100
1,100
0,100
