Column1	Column2	Column3	欄1
國立中央大學	法國語文學系	108	1.5
國立清華大學	數學系乙組(應用數學組)	108	1
國立清華大學	工業工程與工程管理學系	108	1
國立臺灣大學	園藝暨景觀學系	108	1
國立臺南大學	英語學系(公費)-臺南市	108	1.5
國立臺灣師範大學	教育學院學士班	108	1
國立臺灣師範大學	地理學系	108	1
國立臺北大學	金融與合作經營學系	108	1
國立成功大學	機械工程學系	108	1
長庚大學	物理治療學系	108	NULL
國立清華大學	人文社會學院學士班	108	1.5
國立中山大學	財務管理學系	108	1
國立中興大學	會計學系	108	1
國立清華大學	科技管理學院學士班	108	1.5
國立成功大學	歷史學系	108	1.25
國立臺灣師範大學	資訊工程學系	108	
國立中央大學	生醫科學與工程學系	108	NULL
國立臺灣師範大學	國文學系	108	2
國立中山大學	資訊工程學系甲組	108	
國立交通大學	工業工程與管理學系	108	1
東吳大學	法律學系	108	1
國立臺北大學	應用外語學系	108	1.5
國立成功大學	經濟學系	108	1.5
國立清華大學	藝術學院學士班	108	1.25
國立交通大學	土木工程學系	108	1
國立成功大學	外國語文學系	108	1.5
國立臺北大學	統計學系	108	1
國立政治大學	教育學系	108	1
國立中央大學	英美語文學系	108	1.5
國立臺灣師範大學	華語文教學系應用華語文學組	108	2
國立臺灣大學	森林環境暨資源學系	108	NULL
國立成功大學	工業與資訊管理學系	108	1
國立臺灣師範大學	歷史學系	108	1.25
臺北醫學大學	醫學檢驗暨生物技術學系	108	1
國立臺灣師範大學	教育學系(自費)	108	1.5
國立政治大學	土耳其語文學系	108	2
國立清華大學	中國文學系甲組(一般組)	108	1.5
國立高雄大學	財經法律學系	108	1.25
國立臺灣師範大學	音樂學系	108	1
國立陽明大學	護理學系	108	1
國立成功大學	化學系	108	1
國立中正大學	法律學系法學組	108	1.5
國立成功大學	心理學系	108	1
國立中央大學	經濟學系	108	1.25
國立臺灣師範大學	特殊教育學系(自費)	108	1.25
國立中興大學	財務金融學系	108	1
國立政治大學	中國文學系	108	1.5
國立清華大學	生命科學系	108	NULL
國立臺北大學	社會工作學系	108	1.5
國立成功大學	中國文學系	108	1.5
國立中央大學	化學工程與材料工程學系	108	1
國立中正大學	法律學系法制組	108	1.5
國立清華大學	英語教學系	108	1.5
國立臺北大學	會計學系	108	1
國立成功大學	物理學系	108	1
國立清華大學	藝術與設計學系設計組	108	1.5
國立政治大學	資訊科學系	108	1
長庚大學	職能治療學系	108	NULL
國立臺灣師範大學	社會教育學系	108	1.5
國立臺北大學	經濟學系	108	1
國立政治大學	統計學系自然組	108	1.5
國立臺灣大學	農業經濟學系	108	1.5
國立清華大學	中國文學系乙組(華語教學組)	108	1.5
臺北醫學大學	生物醫學工程學系	108	NULL
國立成功大學	土木工程學系	108	1
國立成功大學	系統及船舶機電工程學系	108	1
國立政治大學	心理學系	108	1
國立中山大學	材料與光電科學學系甲組	108	1
國立中山大學	外國語文學系	108	1.5
國立清華大學	竹師教育學院(雙專長組)	108	1
臺北醫學大學	牙體技術學系	108	1
國立臺灣師範大學	英語學系	108	1.5
國立臺灣師範大學	企業管理學系	108	1.5
國立中興大學	歷史學系	108	1
國立中正大學	政治學系	108	1
國立中山大學	資訊管理學系(社會組)	108	1.5
國立成功大學	環境工程學系	108	1
國立成功大學	生命科學系	108	NULL
中國醫藥大學	中國藥學暨中藥資源學系	108	NULL
國立臺北大學	不動產與城鄉環境學系	108	1
國立臺北大學	公共行政暨政策學系	108	1.5
國立中央大學	客家語文暨社會科學學系	108	1.5
國立中興大學	外國語文學系	108	1
國立成功大學	護理學系	108	1
國立成功大學	資源工程學系	108	1
國立中山大學	政治經濟學系	108	1
國立臺北教育大學	心理與諮商學系	108	1.25
國立交通大學	運輸與物流管理學系	108	1
高雄醫學大學	物理治療學系	108	1
國立中山大學	電機工程學系乙組	108	NULL
國立清華大學	竹師教育學院(永續發展組)	108	1
國立臺北大學	中國文學系	108	2
國立中央大學	化學學系	108	1
國立高雄大學	法律學系	108	1.25
輔仁大學	財經法律學系	108	1
中國醫藥大學	物理治療學系	108	NULL
國立清華大學	教育心理與諮商學系	108	1.5
國立政治大學	傳播學院不分系自然組	108	1
國立清華大學	藝術與設計學系創作組	108	1.5
國立成功大學	測量及空間資訊學系	108	1
國立成功大學	數學系	108	NULL
國立臺北大學	社會學系	108	1
臺北醫學大學	醫務管理學系	108	1.25
國立中興大學	企業管理學系	108	1
國立中興大學	行銷學系	108	1
臺北醫學大學	呼吸治療學系	108	NULL
國立中央大學	光電科學與工程學系	108	1
中國醫藥大學	醫學檢驗生物技術學系	108	1
國立中山大學	光電工程學系甲組	108	1
國立中央大學	通訊工程學系	108	1
國立中央大學	中國文學系	108	2
國立中山大學	資訊工程學系乙組	108	
國立中山大學	中國文學系	108	2
國立中正大學	外國語文學系	108	1
國立高雄大學	金融管理學系	108	1
國立交通大學	生物科技學系	108	NULL
國立中正大學	歷史學系	108	1.5
國立政治大學	應用數學系	108	1
國立中興大學	資訊科學與工程學系	108	1
國立臺北大學	企業管理學系	108	1.5
國立成功大學	工業設計學系	108	1
國立成功大學	交通管理科學系	108	1
國立中興大學	電機工程學系乙組	108	NULL
國立嘉義大學	音樂學系(公費)-臺南市	108	1
國立中興大學	中國文學系	108	2
國立政治大學	資訊管理學系自然組	108	1
國立臺灣師範大學	公民教育與活動領導學系	108	1.25
國立成功大學	生物科技與產業科學系	108	NULL
國立臺北大學	電機工程學系	108	1
國立中央大學	工學院學士班	108	1
國立中央大學	企業管理學系	108	1.5
國立中央大學	理學院學士班	108	1
國立臺灣藝術大學	廣播電視學系	108	1.5
國立中正大學	財務金融學系	108	1
國立中央大學	機械工程學系光機電工程組	108	1
國立中興大學	材料科學與工程學系	108	1
國立中山大學	企業管理學系	108	1.75
長庚大學	醫學生物技術暨檢驗學系	108	1
國立中正大學	傳播學系	108	1.5
國立清華大學	幼兒教育學系	108	1.5
國立中正大學	資訊工程學系	108	
國立高雄大學	亞太工商管理學系企業管理組	108	1
國立中央大學	物理學系	108	1
國立成功大學	統計學系	108	1
國立中正大學	犯罪防治學系	108	1.25
臺北市立大學	歷史與地理學系	108	1.5
臺北醫學大學	保健營養學系	108	1
國立成功大學	地球科學系	108	1
輔仁大學	法律學系	108	1
國立中正大學	電機工程學系乙組	108	NULL
國立成功大學	台灣文學系	108	2
國立中央大學	機械工程系材料與精密製造組	108	1
國立臺北大學	休閒運動管理學系	108	1.5
國立中央大學	數學系計算與資料科學組	108	1
國立臺灣師範大學	物理學系	108	1
國立高雄大學	政治法律學系	108	1.25
國立中興大學	化學工程學系	108	1
高雄醫學大學	醫學檢驗生物技術學系	108	1
臺北市立大學	社會暨公共事務學系	108	1.5
國立清華大學	特殊教育學系	108	2
國立中正大學	會計與資訊科技學系	108	1.5
長庚大學	醫學影像暨放射科學系	108	NULL
中山醫學大學	職能治療學系	108	1.25
國立中興大學	動物科學系	108	1
國立清華大學	教育與學習科技學系	108	2
臺北醫學大學	護理學系	108	1
國立中正大學	經濟學系	108	1
臺北醫學大學	口腔衛生學系	108	1
國立成功大學	都市計劃學系(自然組)	108	1.5
國立彰化師範大學	公務與公民教育系公民教育組	108	1.25
國立臺灣師範大學	電機工程學系	108	1
國立臺北教育大學	文化創意產業經營學系	108	1.5
國立屏東大學	會計學系	108	2
國立中山大學	社會學系	108	NULL
國立清華大學	體育學系	108	1.25
國立中正大學	通訊工程學系	108	1
國立彰化師範大學	地理學系	108	1
臺北醫學大學	公共衛生學系	108	1
國立中正大學	成人及繼續教育學系	108	1
國立彰化師範大學	公務與公民教育系公共事務組	108	1.25
國立中央大學	數學系數學科學組	108	1
國立成功大學	水利及海洋工程學系	108	1
國立臺灣師範大學	化學系	108	1
輔仁大學	英國語文學系	108	1
國立臺灣師範大學	東亞學系	108	2
國立臺灣藝術大學	電影學系	108	2
國立彰化師範大學	資訊管理學系資訊管理組	108	1
臺北市立大學	城市發展學系	108	1
國立高雄師範大學	地理學系	108	1
國立臺灣師範大學	生命科學系	108	1
國立中正大學	勞工關係學系	108	1.5
國立臺灣師範大學	人發與家庭系家庭生活教育組	108	2
淡江大學	外交與國際關係學系學士班	108	1.5
國立彰化師範大學	輔導與諮商系學校輔導諮商組	108	1.75
國立臺灣師範大學	工業教育學系	108	1
東吳大學	會計學系	108	1
國立中興大學	物理學系光電物理組	108	1
國立臺北教育大學	教育學系	108	1.5
國立中山大學	材料與光電科學學系丙組	108	1
國立臺北大學	資訊工程學系	108	
國立臺灣師範大學	學習科學學士學位學程	108	1
國立中央大學	機械工程學系設計與分析組	108	1
國立臺灣師範大學	人發與家庭系幼兒發展教育組	108	2
中山醫學大學	物理治療學系	108	1.5
國立中山大學	光電工程學系乙組	108	1
國立中山大學	機械與機電工程學系甲組	108	1
國立臺中教育大學	區域與社會發展學系	108	1
國立中山大學	材料與光電科學學系乙組	108	1
國立中正大學	企業管理學系	108	1.5
國立臺北大學	通訊工程學系	108	1
高雄醫學大學	醫學影像暨放射科學系	108	NULL
銘傳大學	企業管理系企業管理組(台北)	108	1
國立中正大學	中國文學系	108	2
