biology,cume,0
69,10.21,78.3623
68,11.05,77.9323
67,11.97,77.2406
66,12.82,76.7792
65,13.82,76.3625
64,14.91,75.8429
63,15.86,75.1643
62,16.96,74.6692
61,18.05,74.2548
60,19.04,73.8107
59,20.19,73.1302
58,21.4,72.6374
57,22.69,72.1648
56,24,71.5114
55,25.34,70.8456
54,26.68,70.3754
53,28.1,69.8241
52,29.54,69.1005
51,30.97,68.5845
50,32.48,68.0743
49,33.9,67.375
48,35.29,66.7859
47,36.76,66.3163
46,38.15,65.8049
45,39.62,65.0878
44,41.27,64.5288
43,42.9,64.0064
42,44.41,63.255
41,45.82,62.7068
40,47.56,62.1401
39,49.29,61.3467
38,51.01,60.646
37,52.81,60.0275
36,54.58,59.1508
35,56.48,58.4286
34,58.16,57.7588
33,60.03,56.8631
32,61.91,56.1483
31,63.93,55.0843
30,65.8,54.4028
29,67.9,53.4566
28,70.14,52.4106
27,72.32,51.2548
26,74.37,50.2795
25,76.44,49.0338
24,78.58,48.0711
23,80.65,46.7413
22,82.69,45.56
21,84.7,44.2995
20,86.51,43
19,88.74,41.3905
18,90.37,40.0758
17,91.81,38.5678
16,93.4,36.7767
15,94.61,35.3594
14,95.73,33.9818
13,96.88,32.0615
12,97.44,30.7143
11,98.05,29.037
10,98.7,27
9,99.08,25.6111
8,99.31,24.4546
7,99.61,22.2667
6,99.79,19.6666
5,99.85,18.3334
4,99.9,17.25
3,99.94,15
2,99.96,13
1,99.97,12
0,100,0
society,cume,0
100,0,99
99,0,99
98,0,99
97,0.01,98
96,0.01,98
95,0.01,98
94,0.03,94.75
93,0.06,94
92,0.1,92.8
91,0.15,92.3
90,0.34,90.5556
89,0.43,90.0556
88,0.65,89.0455
87,0.83,88.5143
86,1.16,87.625
85,1.51,86.8113
84,2.17,85.6034
83,2.54,84.974
82,3.48,83.7164
81,4.16,82.845
80,5.16,82.0698
79,6.08,81.117
78,7.47,80.2601
77,8.45,79.4536
76,10.2,78.3671
75,11.41,77.6617
74,13.37,76.55
73,14.78,75.9357
72,16.76,74.7452
71,18.41,74.1179
70,20.59,72.9341
69,22.2,72.3443
68,24.61,71.1648
67,26.43,70.4632
66,29.12,69.3116
65,30.83,68.6318
64,33.69,67.4844
63,35.59,66.6901
62,38.31,65.7268
61,40.24,64.859
60,43.15,63.885
59,45.12,62.9349
58,48.14,61.9246
57,49.93,61.0251
56,53.22,59.8342
55,55.14,58.9071
54,58.3,57.6884
53,60.28,56.7681
52,63.33,55.4213
51,65.25,54.5938
50,68.39,53.1734
49,70.25,52.3659
48,73.21,50.786
47,75.12,49.9257
46,77.84,48.4
45,79.32,47.5827
44,81.82,46.1592
43,83.28,45.088
42,85.58,43.744
41,86.87,42.7736
40,88.66,41.4667
39,89.84,40.4773
38,91.48,38.8475
37,92.5,37.971
36,94.02,36.1748
35,94.76,35.125
34,95.8,33.8545
33,96.31,32.9385
32,97.11,31.5
31,97.62,30.3469
30,98.08,28.9474
29,98.39,28.1316
28,98.76,26.8064
27,98.95,26.1936
26,99.18,25.0556
25,99.35,24.2727
24,99.56,22.6
23,99.65,22
22,99.74,20.5714
21,99.76,20.2857
20,99.83,18.6666
19,99.89,17.5001
18,99.94,15
17,99.96,13
16,99.98,10
15,99.98,10
14,99.99,8
13,99.99,8
12,99.99,8
11,99.99,8
10,99.99,8
9,99.99,8
8,99.99,8
7,99.99,8
6,99.99,8
5,99.99,8
4,99.99,8
3,99.99,8
2,99.99,8
1,99.99,8
0,100,0
