score,cume
10,99.96
9,99.96
8,99.96
7,99.96
6,99.96
5,99.96
4,99.96
3,99.96
2,99.96
1,99.96
0,100
