1122,111,順序一:國(10) <br>順序二:英(8) <br>順序三:數A(6) <br>順序四:自(3) ,順序一:國(10) <br>順序二:英(8) <br>順序三:數A(7) <br>順序四:自(14) ,
1132,106,順序一:英+數A+數B+自+社(3) ,順序一:英+數A+數B+自+社(57) ,
1132,107,順序一:英+數A+數B+自+社(3) ,順序一:英+數A+數B+自+社(57) ,
1132,108,順序一:英+數A+數B+自(3) ,順序一:英+數A+數B+自(44) ,
1132,109,順序一:英+數A+數B+自(2.5) ,順序一:英+數A+數B+自(44) ,
1132,110,順序一:英+數A+數B+自(2.5) ,順序一:英+數A+數B+自(41) ,
1132,111,順序一:英+數A+自(2.5) ,順序一:英+數A+自(40) ,
1142,106,順序一:國(6) <br>順序二:數A+數B(5) <br>順序三:英(3) ,順序一:國(13) <br>順序二:數A+數B(11) <br>順序三:英(14) ,
1142,107,順序一:國(6) <br>順序二:數A+數B(5) <br>順序三:英(3) ,順序一:國(14) <br>順序二:數A+數B(12) <br>順序三:英(14) ,
1142,108,順序一:英+數A+數B+自+社(6) <br>順序二:數A+數B(5) <br>順序三:英(3) ,順序一:英+數A+數B+自+社(52) <br>順序二:數A+數B(13) <br>順序三:英(14) ,
1142,109,順序一:英+數A+數B+社(7) <br>順序二:社(6) <br>順序三:數A+數B(5) <br>順序四:英(3) ,順序一:英+數A+數B+社(42) <br>順序二:社(15) <br>順序三:數A+數B(14) <br>順序四:英(14) ,
1142,110,順序一:英+數A+數B+社(7) <br>順序二:社(6) <br>順序三:數A+數B(5) <br>順序四:英(3) ,順序一:英+數A+數B+社(23) <br>順序二:社(11) <br>順序三:數A+數B(8) <br>順序四:英(13) ,
1142,111,順序一:英+數A+社(7) <br>順序二:社(6) <br>順序三:數A(5) <br>順序四:英(3) ,順序一:英+數A+社(36) <br>順序二:社(14) <br>順序三:數A(9) <br>順序四:英(13) ,
1152,106,順序一:國+英+數A+數B+自(3) ,順序一:國+英+數A+數B+自(55) ,
1152,107,順序一:國+英+數A+數B+自(3) ,順序一:國+英+數A+數B+自(56) ,
1152,108,順序一:國+英+數A+數B+自(3) ,順序一:國+英+數A+數B+自(56) ,
1152,109,順序一:國+英+數A+數B+自(3) ,順序一:國+英+數A+數B+自(57) ,
1152,110,順序一:國+英+數A+數B+自(3) ,順序一:國+英+數A+數B+自(52) ,
1152,111,順序一:國+英+數A+自(3) ,順序一:國+英+數A+自(51) ,
1162,106,順序一:國+社(5) <br>順序二:英(3) ,順序一:國+社(29) <br>順序二:英(15) ,
1162,107,順序一:國+社(5) <br>順序二:英(3) ,順序一:國+社(28) <br>順序二:英(15) ,
1162,108,順序一:國+社(5) <br>順序二:英(3) ,順序一:國+社(29) <br>順序二:英(15) ,
1162,109,順序一:國+社(5) <br>順序二:英(3) ,順序一:國+社(29) <br>順序二:英(15) ,
1162,110,順序一:國+社(5) <br>順序二:英(3) ,順序一:國+社(29) <br>順序二:英(14) ,
1162,111,順序一:國+社(5) <br>順序二:英(2.5) ,順序一:國+社(28) <br>順序二:英(14) ,
