university,subject,year,chinese,english,mathA,mathB,physics,chemistry,biology,history,geography,citizen,average,0
臺北醫學大學,藥學系藥學組,108,NULL,1,1,NULL,1,1.25,1.25,NULL,NULL,NULL,81.6636,86.2603
國立臺灣大學,生化科技學系,108,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,80.7,86.2444
國立清華大學,資訊工程系乙組(資訊工程組),108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,81.66,86.2384
國立臺灣大學,化學工程學系,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,81.59,86.1961
國立臺灣大學,機械工程學系,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,81.32,86.0326
國立臺灣師範大學,科技與人資發展系(公費)臺南,108,1,1.25,1.25,NULL,1,1,NULL,NULL,NULL,NULL,81.5327,86.0222
國立清華大學,材料科學工程學系甲組,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,81.27,86.0024
國立臺灣大學,醫學工程學系,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,81.21,85.966
國立臺灣大學,外國語文學系,108,1.25,2,NULL,1,NULL,NULL,NULL,1,1,NULL,83.856,85.9328
國立臺灣大學,數學系,108,NULL,1,1.5,NULL,1,1,NULL,NULL,NULL,NULL,80.4667,85.9094
國立臺灣大學,化學系,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,81.1,85.8995
國立臺灣大學,生物產業傳播暨發展學系,108,1.5,1.5,NULL,1.5,NULL,NULL,NULL,1,1,NULL,83.6123,85.8596
國立臺灣大學,圖書資訊學系,108,1.25,1.25,NULL,1,NULL,NULL,NULL,1,NULL,1,83.1,85.8076
國立政治大學,法律學系,108,1,2,NULL,1,NULL,NULL,NULL,1,NULL,1,84.0333,85.7891
國立清華大學,材料科學工程學系乙組,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,80.78,85.7122
國立政治大學,國際經營與貿易學系,108,1.5,2,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,88.1455,85.7102
國立清華大學,工學院學士班,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,80.69,85.6603
國立臺灣大學,哲學系,108,1,1,NULL,1,NULL,NULL,NULL,1,NULL,1,82.3,85.6546
中國醫藥大學,藥學系,108,1,1,1,NULL,NULL,1,1,NULL,NULL,NULL,81.79,85.5811
國立交通大學,資管與財金學系資訊管理組,108,1,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,83.44,85.5558
國立政治大學,統計學系社會組,108,1.5,1.5,NULL,2,NULL,NULL,NULL,1,1,NULL,83.8714,85.5013
國立臺灣大學,生命科學系,108,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,79.07,85.4539
國立臺灣大學,醫學檢驗暨生物技術學系,108,1,1,1,NULL,NULL,1,1,NULL,NULL,NULL,81.57,85.4415
國立臺灣大學,日本語文學系,108,1.5,1.5,NULL,1,NULL,NULL,NULL,1,1,NULL,82.6333,85.4164
國立臺灣大學,中國文學系,108,1.5,1.25,NULL,1,NULL,NULL,NULL,1.25,1,NULL,82.135,85.3814
國立臺灣大學,社會工作學系,108,1.25,1.25,NULL,1,NULL,NULL,NULL,1,NULL,1,82.5145,85.3708
國立成功大學,電機工程學系,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,80.18,85.3664
國立陽明大學,學士班大一大二不分系,108,NULL,1.25,1,NULL,1,1.25,1.5,NULL,NULL,NULL,80.585,85.3576
國立政治大學,風險管理與保險學系,108,1,1.5,NULL,1.5,NULL,NULL,NULL,NULL,NULL,NULL,86.65,85.3179
國立臺灣大學,工程科學及海洋工程學系,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,80.02,85.2743
國立政治大學,會計學系,108,1.5,2,NULL,2,NULL,NULL,NULL,1,1,NULL,83.6,85.1999
國立臺灣師範大學,教育心理與輔導學系,108,1,1.25,NULL,1.25,NULL,NULL,NULL,1,NULL,1,82.1782,85.1717
國立政治大學,企業管理學系,108,1,2,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,87.1,85.0609
國立東華大學,幼兒教育系(公費)花蓮限原民,108,2,2,NULL,1,NULL,NULL,NULL,1,NULL,2,83.7725,85.0503
國立臺灣大學,工商管理學系科技管理組,108,1,2,2,NULL,1,1,NULL,NULL,NULL,NULL,80.8143,85.0405
國立政治大學,財政學系,108,1,1.5,NULL,1.5,NULL,NULL,NULL,NULL,NULL,NULL,86.1875,85.0249
國立臺北大學,法律學系財經法組,108,1.5,1.5,NULL,1,NULL,NULL,NULL,1,NULL,1,82.605,85.0133
國立清華大學,動力機械工程學系甲組,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,79.44,84.969
國立臺灣大學,職能治療學系,108,1.25,1.5,1,NULL,NULL,NULL,1,NULL,NULL,NULL,82.9958,84.9589
國立交通大學,材料科學與工程學系乙組,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,79.4,84.948
國立臺灣師範大學,特殊教育學系(公費)-臺東縣,108,1.25,1.25,NULL,1,NULL,NULL,NULL,1,NULL,1,81.9618,84.9439
國立政治大學,經濟學系,108,1,1.5,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,86.8178,84.9347
國立臺灣大學,農業化學系,108,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,78.05,84.9248
國立臺灣大學,公共衛生學系,108,NULL,1.25,1.25,NULL,NULL,1,NULL,NULL,NULL,NULL,79.6257,84.8719
國立清華大學,物理學系物理組(天文物理組),108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,79.24,84.8641
國立成功大學,資訊工程學系,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,79.18,84.8326
國立臺中教育大學,數學教育學系(公費)-臺南市,108,1,2,2,NULL,1,1,NULL,NULL,NULL,NULL,80.4086,84.8198
國立交通大學,電子物理學系光電奈米科學組,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,79.15,84.8168
國立陽明大學,物理治療暨輔助科技學系,108,NULL,1.25,1,NULL,1,1,1.25,NULL,NULL,NULL,78.8073,84.8148
國立政治大學,民族學系,108,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.25,84.1846,84.7852
國立臺灣大學,生物機電工程學系,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,79.08,84.7801
國立成功大學,全校不分系學士學位學程,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,79.07,84.7749
國立清華大學,動力機械工程學系乙組,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,79.05,84.7644
國立清華大學,經濟學系第2組,108,1,2,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,86.6,84.7513
國立交通大學,奈米科學及工程學士學位學程,108,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,79.02,84.7486
國立臺灣大學,心理學系,108,1,1,1,NULL,NULL,1,1,NULL,NULL,NULL,80.49,84.744
國立政治大學,資訊管理學系社會組,108,1,2,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,86.58,84.7391
