biology,cume,0
84,16.54,82.026
83,18.96,80.404
82,21.6,78.6333
81,24.21,76.8148
80,26.78,74.9482
79,29.57,72.8333
78,32.22,70.7803
77,34.84,68.7583
76,37.4,66.5625
75,39.89,64.3394
74,42.37,61.9901
73,44.84,59.6316
72,47.26,57.3925
71,49.73,55.099
70,51.81,53.1748
69,53.93,51.0755
68,56.05,48.9151
67,58.18,46.866
66,60.49,44.6316
65,62.47,42.75
64,64.32,41.1062
63,66.06,39.4393
62,67.93,37.7823
61,69.83,36.1983
60,71.66,34.547
59,73.31,33.1441
58,74.91,31.8425
57,76.46,30.6066
56,77.97,29.3937
55,79.44,28.224
54,80.92,27.084
53,82.14,26.1048
52,83.47,25.084
51,84.83,24.053
50,86.05,23.1606
49,87.07,22.4286
48,88.13,21.6567
47,89.13,20.9098
46,90.03,20.2331
45,90.98,19.5616
44,91.68,19.0822
43,92.46,18.5075
42,93.22,17.937
41,93.85,17.4409
40,94.41,17
39,94.9,16.5421
38,95.4,16.0748
37,95.86,15.6415
36,96.39,15.1415
35,96.82,14.6989
34,97.17,14.3226
33,97.51,13.9481
32,97.83,13.5325
31,98.12,13.1558
30,98.35,12.807
29,98.57,12.421
28,98.79,12.0351
27,98.94,11.6829
26,99.11,11.2683
25,99.25,10.8966
24,99.36,10.5172
23,99.46,10.1724
22,99.56,9.79168
21,99.64,9.45834
20,99.72,9.125
19,99.79,8.66667
18,99.83,8.33333
17,99.87,8
16,99.91,7.33329
15,99.92,7.16671
14,99.93,7
13,99.96,6
12,99.96,6
11,99.98,5
10,99.98,5
9,99.98,5
8,99.99,2
7,99.99,2
6,99.99,2
5,99.99,2
4,99.99,2
3,99.99,2
2,99.99,2
1,99.99,2
0,100,0
matha,cume,0
100,0.06,97.6667
99,0.06,97.6667
98,0.1,97.2222
97,0.1,97.2222
96,0.2,96.5294
95,0.2,96.5294
94,0.31,95.9286
93,0.36,95.75
92,0.5,95.25
91,0.56,95.0357
90,0.76,94.5682
89,0.8,94.4773
88,0.96,94.1136
87,1.09,93.8644
86,1.38,93.3729
85,1.53,93.1186
84,1.89,92.642
83,2.06,92.4321
82,2.47,91.94
81,2.8,91.61
80,3.23,91.18
79,3.57,90.871
78,4.05,90.4839
77,4.53,90.0968
76,5.18,89.6103
75,5.75,89.1912
74,6.52,88.6531
73,7.1,88.2585
72,7.95,87.6569
71,8.69,87.1168
70,9.57,86.5069
69,10.25,86.0411
68,11.23,85.4177
67,12.05,84.8987
66,13.06,84.2595
65,13.93,83.707
64,14.96,83.051
63,15.96,82.4026
62,17.3,81.5135
61,18.26,80.8675
60,19.5,80.0464
59,20.48,79.3851
58,21.96,78.3933
57,23.04,77.6525
56,24.57,76.5481
55,25.65,75.7571
54,27.24,74.6074
53,28.47,73.6822
52,30.06,72.4621
51,31.23,71.5556
50,32.9,70.2652
49,34.07,69.3692
48,35.89,67.8793
47,37.15,66.7857
46,38.94,65.2018
45,40.22,64.0367
44,42.11,62.2525
43,43.38,60.9905
42,45.27,59.2544
41,46.54,58.0667
40,48.23,56.5175
39,49.45,55.3762
38,51.27,53.699
37,52.6,52.3646
36,54.42,50.5729
35,55.68,49.2828
34,57.69,47.3495
33,59.03,45.9905
32,60.7,44.4474
31,62.04,43.1531
30,63.7,41.6549
29,64.92,40.5294
28,66.68,38.8673
27,67.52,38.1239
26,69.29,36.6638
25,70.52,35.5701
24,72,34.2564
23,73.35,33.1102
22,75.06,31.7244
21,75.89,31.0709
20,77.96,29.4016
19,78.9,28.656
18,80.39,27.4886
17,82.24,26.0242
16,83.76,24.8636
15,85.23,23.7591
14,87.17,22.3571
13,87.66,22.0071
12,89.69,20.4887
11,91.17,19.4315
10,92.03,18.8284
9,93.72,17.5433
8,95.04,16.4112
7,95.5,15.9811
6,96.93,14.5806
5,97.07,14.4301
4,98.04,13.2597
3,98.95,11.6585
2,98.98,11.5854
1,99.67,9.33334
0,100,0
mathb,cume,0
100,0.95,94.1364
99,0.95,94.1364
98,1.1,93.8475
97,1.1,93.8475
96,2.08,92.4074
95,2.08,92.4074
94,3.31,91.1
93,3.39,91.02
92,4.54,90.0887
91,4.56,90.0726
90,6.03,88.9864
89,6.13,88.9184
88,7.82,87.7518
87,8,87.6204
86,9.9,86.2808
85,10.07,86.1644
84,11.87,85.0127
83,12.14,84.8418
82,14.13,83.5796
81,14.5,83.3439
80,16.62,81.973
79,17.02,81.7027
78,19.2,80.245
77,19.66,79.9392
76,21.6,78.6333
75,22.07,78.32
74,24.36,76.7037
73,25.06,76.1852
72,27.14,74.6815
71,27.87,74.1407
70,29.92,72.5682
69,30.69,71.9841
68,32.53,70.5455
67,33.43,69.8615
66,35.35,68.3333
65,36.34,67.4914
64,38.03,66
63,39.01,65.1404
62,40.66,63.6396
61,41.57,62.798
60,43.35,61.0198
59,44.37,60.0476
58,45.97,58.6095
57,46.94,57.6916
56,48.63,56.1667
55,49.82,55.0099
54,51.41,53.5631
53,52.42,52.5521
52,54.08,50.9271
51,55.02,49.9495
50,56.5,48.4906
49,57.63,47.4078
48,59.22,45.8095
47,60.21,44.8772
46,61.64,43.5612
45,62.72,42.5268
44,64.09,41.3097
43,65.12,40.3333
42,66.54,38.9911
41,67.52,38.1239
40,68.92,36.9828
39,69.79,36.2328
38,71.1,35.028
37,71.99,34.265
36,73.46,33.017
35,74.41,32.2439
34,75.69,31.2283
33,76.62,30.4754
32,77.87,29.4724
31,78.77,28.76
30,80.01,27.7786
29,80.83,27.1527
28,82.04,26.1855
27,82.95,25.4809
26,83.98,24.697
25,84.9,24
24,85.97,23.219
23,86.69,22.7
22,87.79,21.9104
21,88.48,21.3955
20,89.5,20.6316
19,90.22,20.0902
18,91.17,19.4315
17,92.05,18.8134
16,92.88,18.194
15,93.42,17.7795
14,94.4,17.0079
13,94.73,16.7009
12,95.53,15.9528
11,96.12,15.3962
10,96.52,15.0189
9,97.27,14.2151
8,97.81,13.5584
7,98.17,13.0909
6,98.72,12.1579
5,98.84,11.9268
4,99.11,11.2683
3,99.47,10.1379
2,99.51,10
1,99.88,7.83342
0,100,0
physics,cume,0
100,0,99
99,0,99
98,0.03,98
97,0.06,97.6667
96,0.09,97.3333
95,0.14,96.8824
94,0.18,96.6471
93,0.24,96.2941
92,0.34,95.8214
91,0.44,95.4643
90,0.58,94.9773
89,0.76,94.5682
88,0.94,94.1591
87,1.15,93.7627
86,1.38,93.3729
85,1.68,92.9012
84,2.02,92.4815
83,2.36,92.0617
82,2.68,91.73
81,3.04,91.37
80,3.4,91.01
79,3.9,90.6048
78,4.35,90.2419
77,4.87,89.8382
76,5.48,89.3897
75,5.97,89.0294
74,6.64,88.5714
73,7.3,88.1225
72,8.01,87.6131
71,8.76,87.0657
70,9.44,86.5959
69,10.21,86.0685
68,11.05,85.5316
67,11.97,84.9494
66,12.82,84.4114
65,13.82,83.7771
64,14.91,83.0828
63,15.86,82.4675
62,16.96,81.7432
61,18.05,81.0068
60,19.04,80.351
59,20.19,79.5811
58,21.4,78.7667
57,22.69,77.9007
56,24,76.9704
55,25.34,75.9786
54,26.68,75.0214
53,28.1,73.969
52,29.54,72.8561
51,30.97,71.7619
50,32.48,70.5833
49,33.9,69.5
48,35.29,68.3833
47,36.76,67.1293
46,38.15,65.8947
45,39.62,64.5872
44,41.27,63.0901
43,42.9,61.4653
42,44.41,60.0095
41,45.82,58.7524
40,47.56,57.1121
39,49.29,55.5347
38,51.01,53.9515
37,52.81,52.1458
36,54.58,50.4062
35,56.48,48.5094
34,58.16,46.8866
33,60.03,45.0381
32,61.91,43.2857
31,63.93,41.4513
30,65.8,39.6822
29,67.9,37.8065
28,70.14,35.9252
27,72.32,33.9831
26,74.37,32.2764
25,76.44,30.6229
